Igala,English
úgēgwúù,sweating
Àméríkà,Sweden
áchábọ̀,symbolically
íjó,symbols
náàgò,sympathy
úwọ́,symptom
àmáwọ́,symptoms
ọ̀nà,system
ùgbò,system
àmaùgbò,systems
itébùlù,table
élìfọ̀,taboo
ótíyì,tail
gbá,take
dú,taken
áchē,takes
ádú,taking
ákọ́kọ́lọ́,tale
ámákọ́kọ́lọ́,tales
ẹ̀gbá,talent
ùmà,talents
kọ́là,talk
kà,talked
ákọ̀láà,talking
kálukà,tally
ọ́là ọ́dá,tape
úkọ́lọ́,task
àmákọ́lọ́,tasks
jómá,taste
mọ,tasted
ọ̀gbọ̀,tasteless
rínyọ̀,tasty
òdúù,tax
ómílé,tea
kọ́,teach
Ítíchà,Teacher
kpanà,tear
omi ákwú,tears
ẹ̀kwó,teaspoon
ẹ̀kọ́,techniques
ényí,teeth
íló,telephone
kà,tell
bíọ́la,telling
áche,tells
ẹ̀fúù,temple
ìjọ́,temporary
gbẹ̄gbẹ̄,temporarily
ádí,tendency
àmadí,tendencies
kpá,tender
míẹ́lẹ́,tenderly
ẹ̀gwá,ten
ábúchẹ́ éfúù óchú,Ten
áchábọ́,term
ikò,terms
ádí,Terminology
ójaanẹ́,territory
úgbo,territory
chẹ́ áñwàgọ́,tested
che ánwàgó,Test
ọ̀lọ̀ ọ́dákáda,texts
fú,thank
ch’úgbédē,thankful
wọ́lá,thanks
àgwáà,thanks
k’í,that
abálẹ́,That
òñwúlẹ́,That
ọ́,that
lẹ́,the
òdèkélé,theatre
ómi-ọ̀là,theme
wẹ̀,thee
ma,their
má,them
òfúù ọ̀là,theme
tákù,then
ìbégwù,theories
ábégwù,theory
ànúmọ̀,there
tákù,thereafter
òñwulẹ́,therefore
éfú,therein
ínyé,these
á,they
ẹ́ñwu,thing
àmẹ́ñwu,things
íbẹ,think
ẹ́kẹ́tà,third
ẹ̀gwẹ́tà,thirteen
ogwégwā,thirty
ínyí,this
éma lẹ́,those
ẹ́,thou
ìchamú,thousand
mẹ́tà,three
álu-ójì,threshold
lẹ́fù,through
ọ́dọ́ dúú,throughout
gwó,throwing
ókpónó,thumb
Ẹ́tọ́,Thursday
wẹ,thy
kwù,tie
àmẹ́fúù,ties
olí,timber
ikò̀,time
ọ̀kpánachi,time
ikò,times
ámáìkò,times
àkpḗ,tin
rẹ́kẹ́rẹ́kē,tiny
ámákà,tips
kè,tired
kàkpọ́ọ́,tiresome
ẹ́gbẹ̀,tissue
àmẹ́gbẹ̀,tissues
ọ́fẹ́,title
n’ọ́fẹ́,titled
sí,to
átábáà,tobacco
ífáí,today
dàmá,together
kà,told
ójì,tomb
ọ́na,tomorrow
ígọ́ọ́na,tomorrow
óníì,tonight
ẹ́láà,tongue
ódú,tonight
yẹ́,too
ìdónà,tool
ìmígbélí,tools
ọ́là,topic
àmọ̣́lá,topics
gbàlàkàtá,Top
ójí,top
ìgbé,torture
hieelẹ́,totally
gọ́,tour
sì,toward
rù,towards
ẹ́wọ́,town
éfèwọ́,Town
àméwọ́,towns
ẹ́wọ́-lilé,township
ájá,trade
ájá,Trade
ámájọ̀,trades
gbẹ́gbẹ́dẹ́,traditionally
ígbélé,Traditional
ọ̀gwù,traditions
ùchòbí,tragedy
áláìdígō,tragic
ékpá,trail
àmẹ́kpá,trails
ómótọ̀ anẹ̀,train
ẹ́kọ́,trait
àmálí,traits
ẹ̀gbá,trans
àgò,transactions
dúgbá,transferred
ùgbádúgbà,transfer
ché,translate
ẹ́kọ́,translation
du lẹ̀,transmitted
ẹ́gwáà,Transport
du lè,transported
ódù,trap
úlẹ̀,travel
òlówáà,traveler
ílẹ́-óko,travelling
óló,treachery
àmágbalu,treaties
híyẹ́hìá,treat
áyá,treating
àmágbalu,treaty
olí,tree
ámólí,trees
olí,Tree
àmálí,trends
ìgòchèlèmá,trickery
àmájógwù,troops
ée,TRUE
ólí-ẹ̀kpẹ̀,trunk
ọ̀gẹ́cha,truth
dọ́mọ́,tried
átẹ́né,tries
Ẹ́dẹ̀,Tuesday
ùbẹ̀,tube
àmábùbẹ̀,tubes
ìké,tumor
àmíkẹ́,tumors
ùbi,turn
ágbìgbìdí,turning
àlú,turns
ẹ̀télévíshọ̀nù,TV
ẹ̀gwẹ́jì,twelve
ógwú,twenty
ẹ̀jìì,twice
ẹ́jìmá,twin
ámẹ́jìmá,twins
méjì,two
àché,type
ùchẹ́,types
ìnyà,tyranny
kpárákpárà,ugly
nèkè,unable
chẹ̀,unbending
ómẹ̀nyí,uncle
n’ẹ́dọ̀,unconcerned
ẹ́fú ànẹ́,underground
Ùmà,Understanding
ùmà,understanding
n’ọ́fẹ́,Under
óma-íchèkpúlú,undergraduate
gbọ́,understand
ùmà,understanding
gbà,understood
bibi,undesirable
íyé,unemployment
átányí,Unfortunately
n’ùyọ̀,unhappy
jí,unified
ìkàmà,Union
gbágbá,unique
àmẹ́jọ̀,United
ámáchẹ̀,units
òké,Unit
ẹ̀dọ̀ọ̀káà,unity
chákáá,Universal
ilẹ̀,universe
àmunyí-íké,universities
únyí-íké,university
àbó-íchèkpúlù,university
álẹ́,unlimited
ñáí,unless
gẹ̄ẹ́gẹ̄,unnecessary
gbàákáà,unlike
rọ́gwú,unload
ógójó,unpredictable
ábàìló,unreasonable
tákú,until
fúù,unto
àdúñà,unusual
ójí,upon
òkì,Upper
kpàkpà,upright
òlí,uprising
bú,upset
òdò̀ lilé,Urban
chálò,urge
ìtọ̀,urine
chẹ́,use
ẹ́wàì,useless
ẹnẹ́káàchí,user
chè,using
èkwù,utility
gbàlí,utmost
gbàálá,utterly
ùkọ̀là,utterance
úkọ̀là,utterances
ònónò ọ̀fá,uvula
ọ̀bù,vagina
jẹ́nyú,valued
àlí,values
tákpáránẹ́ẹ̀,vanished
ojóojì,variation
ójóojì,varied
ójóojì,variety
jọ́ọ́jí,various
ílì,vein
íhígá,vent
ẹ̀kọ̀ áfù,ventilation
íjííyà,venture
ọ̀gẹ̀cha,verdict
àbùbú,verse
ídádà,version
éjìjẹ́lẹ́,vertical
lọ́lọ́,very
àgọ̀,vessels
énẹ,victim
àménẹ́,victims
ọ́gà,victor
gòó,viewed
égọ̀,viewing
ùdágō,viewpoint
éwọ́,village
àmẹ́wọ́,villages
àbúchẹ́,village
n’ákpúlú,violent
gbẹ́bīẹ́nẹ́,violating
kpọ́kpẹ́,visibly
éjú,vision
b’ónà,visit
dúgbò,visited
ábó-ọ́nōnōjò,visitors
édíọ́,vocal
ẹ́gbá,vocational
ómùù,voice
úkpẹ̄,Vol.
ùkpẹ̄,Vol
ówú,volunteer
ábówú,volunteers
jábè,vote
àmájọ́bé,voters
ójóojì,vs.
ọ́dọ̀,wall
àmọ́dọ̀,walls
ténè,want
ténè,wanted
ùbìdégō,ward
gwẹ̀,washed
ágwẹ̀,washing
àwúyà,waste
ch'íbẹ̄bẹ́,wasteful
ọ̀nà,way
àmónà,ways
à,we
yégẹ̀yégẹ̀,weak
ágọ̀,weakness
àbábìfìì,weaknesses
ídúù,wealth
ánána,wealthy
ẹ́gbẹ́,weapon
nẹ́,wear
ání,wearing
chúbà,weary
anẹ́,weather
álùkáàgọ́,wedding
Àfọ̀,Wednesday
Àládì,week
íjósáàbátà,weekend
ámaÀládì,weeks
àládì,weekly
dòkòò,weighted
ábú,what
ẹ́ñwu dúú,whatever
ọ́ká,wheel
ámọ́ká,wheels
álu,when
úgbò,Where
énẹ́,which
kalí,Which
éfúfú,white
fúfú,White
kpàí ọ́wọ́ méjì,whole-heartedly
édú,Why
ọ́yáà,wife
ámafùù,winds
áfù,wind
ọ́tẹ́,wine
íká,wing
li,wipe
íwáyáà,wire
jẹ́gbẹ́jú,wise
téné,wish
téné,wishing
gbẹ̄,without
ìjálí,witness
àmíjálí,witnesses
ábígbọ,witnessing
ónōbúlẹ́,woman
ábọ́,women
àbóbúlẹ,women
áwúwù,wonder
àlìfía,wonderful
áwúwù,wondered
àmáwúwù,wonders
olí,wood
olí,wooden
àmólí,woods
ọ̀là,word
ọ̀là,words
úkọ́lọ́,work
ch'úkọ́lọ́,worked
ẹ́nẹ́-ùkólọ́,worker
àbó-ùkólọ́,workers
ch’úkọ́lọ́,working
ìlẹ̀,world
àmìlẹ̀,worlds
àná,World
ìlẹ̀,World
d’éjìjì,worried
d’éjìjì,worry
bíẹ́,worse
ọ́kọ́,worth
òfòfo,worthless
ọ̀gbóóló,worthy
neke,would
ágbéẹ̀,wound
gbá,wounded
àmágbéẹ̀,wounds
kó ló,wrap
ch’ẹ́,wrapped
kọ,write
ákọ́tākāda,writer
àmákọ́tākāda,writers
ákò,writes
ẹ́kọ́,writing
àmọ́kọ́,writings
kọ́,written
ẹ̀bíẹ́nẹ,wrong
àdùré,wrongly
kọ,wrote
àgádà,yard
àgádà,yards
ọ́dọ́,year
ámọ́dọ́,years
ájọ́dúdújọ́dùù,years
ọ̀nálẹ́,yesterday
tá,yet
gbí,yield
gbí,yielding
wẹ,you
kẹ́kẹ́,young
òkékélé,younger
kẹ́kẹ́,Young
wẹ,your
ónúgò,yourself
àmonẹ̀ ónúgò,yourselves
ùgbitẹ̀rẹ̀,youth
òfo,zero
ágbámú,zinc
ẹ́gbà,zone
àmẹ́gbà,zones
òkwúta,rock
òkwúta,pebble
ùwẹ,yourself
ùwẹ,yours
ùwẹ,you are
ùwẹ,you were
ọ́nẹkẹ̀lẹ,human
ọ́nẹkẹ̀lẹ,male
ọ́nẹkẹ̀lẹ,a man
ọ́nẹkẹ̀lẹ,the man
gbà,provide
gbà,offer
gbà,give me
gbà,gave
ébíjè,the devil
ébíjè,a demon
ẹ̀,yourself
ẹ̀,yours
ẹ̀,you are
ẹ̀,you were
òkwúta ,rock
òkwúta ,pebble
ónẹ̀ ,human
ónẹ̀ ,male
ónẹ̀ ,a man
ónẹ̀ ,the man
E̩ne̩,human
E̩ne̩,male
E̩ne̩,a man
E̩ne̩,the man
ẹ̀bìlíì,the devil
ẹ̀bìlíì,a demon
du,provide
du,offer
du,give me
du,gave
ẹ́nẹ,human
ẹ́nẹ,male
ẹ́nẹ,a man
ẹ́nẹ,the man
ọ̀kwúta,rock
ọ̀kwúta,pebble
wẹ,yourself
wẹ,yours
wẹ,you are
wẹ,you were
